COMMENT,manufacture,name,description,series,,
META,伊之密,UN200A5,伊之密注塑机,UN200A5,,
,,,,,,
COMMENT,name,description,vt,namespace,index,rate
INPUT,Tag165,,int,1,1262,
INPUT,Tag166,,int,1,1272,
INPUT,Tag167,,int,1,1288,
INPUT,Tag168,,int,1,1316,
INPUT,Tag169,,int,1,1205,
INPUT,Tag170,,int,1,1260,
INPUT,Tag171,,int,1,1315,
INPUT,Tag172,,int,1,1238,
INPUT,Tag173,,int,1,1153,
INPUT,Tag174,,int,1,1210,
INPUT,Tag175,,int,1,1246,
INPUT,Tag176,,int,1,1049,
INPUT,Tag177,,int,1,1029,
INPUT,Tag178,,int,1,1289,
INPUT,Tag179,,int,1,1255,
INPUT,Tag180,,int,1,1225,
INPUT,Tag181,,int,1,1226,
INPUT,Tag182,,int,1,1224,
INPUT,Tag183,,int,1,1030,
INPUT,Tag184,,int,1,1279,
INPUT,Tag185,,int,1,1209,
INPUT,Tag186,,int,1,1048,
INPUT,Tag187,,int,1,1285,
INPUT,Tag188,,int,1,1284,
INPUT,Tag189,,int,1,1282,
INPUT,Tag190,,int,1,1283,
INPUT,Tag191,,int,1,1281,
INPUT,Tag192,,int,1,1274,
INPUT,Tag193,,int,1,1275,
INPUT,Tag194,,int,1,1349,
INPUT,Tag195,,int,1,1259,
INPUT,Tag196,,int,1,1033,
INPUT,Tag197,,int,1,1150,
INPUT,Tag198,,int,1,1320,
INPUT,Tag199,,int,1,1319,
INPUT,Tag200,,int,1,1216,
INPUT,Tag201,,int,1,1027,
INPUT,Tag202,,int,1,1028,
INPUT,Tag203,,int,1,1012,
INPUT,Tag204,,int,1,1011,
INPUT,Tag205,,int,1,1034,
INPUT,Tag206,,int,1,1269,
INPUT,Tag207,,int,1,1014,
INPUT,Tag208,,int,1,1270,
INPUT,Tag209,,int,1,1314,
INPUT,Tag210,,int,1,1286,
INPUT,Tag211,,int,1,1253,
INPUT,Tag212,,int,1,1256,
INPUT,Tag213,,int,1,1261,
INPUT,Tag214,,int,1,1107,
INPUT,Tag215,,int,1,1108,
INPUT,Tag216,,int,1,1019,
INPUT,Tag217,,int,1,1101,
INPUT,Tag218,,int,1,1213,
INPUT,Tag219,,int,1,1329,
INPUT,Tag220,,int,1,1321,
INPUT,Tag221,,int,1,1330,
INPUT,Tag222,,int,1,1322,
INPUT,Tag223,,int,1,1331,
INPUT,Tag224,,int,1,1323,
INPUT,Tag225,,int,1,1332,
INPUT,Tag226,,int,1,1263,
INPUT,Tag227,,int,1,1324,
INPUT,Tag228,,int,1,1264,
INPUT,Tag229,,int,1,1081,
INPUT,Tag230,,int,1,1207,
INPUT,Tag231,,int,1,1232,
INPUT,Tag232,,int,1,1230,
INPUT,Tag233,,int,1,1235,
INPUT,Tag234,,int,1,1080,
INPUT,Tag235,,int,1,1234,
INPUT,Tag236,,int,1,1233,
INPUT,Tag237,,int,1,1082,
INPUT,Tag238,,int,1,1208,
INPUT,Tag239,,int,1,1265,
INPUT,Tag240,,int,1,1203,
INPUT,Tag241,,int,1,1231,
INPUT,Tag242,,int,1,1229,
INPUT,Tag243,,int,1,1181,
INPUT,Tag244,,int,1,1252,
INPUT,Tag245,,int,1,1251,
INPUT,Tag246,,int,1,1228,
INPUT,Tag247,,int,1,1277,
INPUT,Tag248,,int,1,1249,
INPUT,Tag249,,int,1,1250,
INPUT,Tag250,,float,1,1637,
INPUT,Tag251,,int,1,1632,
INPUT,Tag252,,int,1,1627,
INPUT,Tag253,,float,1,1638,
INPUT,Tag254,,int,1,1633,
INPUT,Tag255,,int,1,1628,
INPUT,Tag256,,float,1,1639,
INPUT,Tag257,,int,1,1634,
INPUT,Tag258,,int,1,1629,
INPUT,Tag259,,float,1,1640,
INPUT,Tag260,,int,1,1635,
INPUT,Tag261,,int,1,1630,
INPUT,Tag262,,float,1,1641,
INPUT,Tag263,,int,1,1636,
INPUT,Tag264,,int,1,1631,
INPUT,Tag265,,float,1,1756,
INPUT,Tag266,,float,1,1749,
INPUT,Tag267,,float,1,1763,
INPUT,Tag268,,float,1,1770,
INPUT,Tag269,,float,1,1757,
INPUT,Tag270,,float,1,1750,
INPUT,Tag271,,float,1,1764,
INPUT,Tag272,,float,1,1771,
INPUT,Tag273,,float,1,1758,
INPUT,Tag274,,float,1,1751,
INPUT,Tag275,,float,1,1765,
INPUT,Tag276,,float,1,1772,
INPUT,Tag277,,float,1,1759,
INPUT,Tag278,,float,1,1752,
INPUT,Tag279,,float,1,1766,
INPUT,Tag280,,float,1,1773,
INPUT,Tag281,,float,1,1760,
INPUT,Tag282,,float,1,1753,
INPUT,Tag283,,float,1,1767,
INPUT,Tag284,,float,1,1774,
INPUT,Tag285,,float,1,1761,
INPUT,Tag286,,float,1,1754,
INPUT,Tag287,,float,1,1768,
INPUT,Tag288,,float,1,1775,
INPUT,Tag289,,int,1,1556,
INPUT,Tag290,,float,1,1547,
INPUT,Tag291,,int,1,1551,
INPUT,Tag292,,int,1,1557,
INPUT,Tag293,,float,1,1548,
INPUT,Tag294,,int,1,1552,
INPUT,Tag295,,int,1,1558,
INPUT,Tag296,,float,1,1549,
INPUT,Tag297,,int,1,1553,
INPUT,Tag298,,int,1,1559,
INPUT,Tag299,,float,1,1550,
INPUT,Tag300,,int,1,1554,
INPUT,Tag301,,float,1,1580,
INPUT,Tag302,,float,1,1582,
INPUT,Tag303,,int,1,1560,
INPUT,Tag304,,int,1,1555,
INPUT,Tag305,,float,1,1654,
INPUT,Tag306,,int,1,1665,
INPUT,Tag307,,float,1,1655,
INPUT,Tag308,,int,1,1660,
INPUT,Tag309,,int,1,1666,
INPUT,Tag310,,int,1,1662,
INPUT,Tag311,,float,1,1651,
INPUT,Tag312,,int,1,1657,
INPUT,Tag313,,int,1,1667,
INPUT,Tag314,,int,1,1663,
INPUT,Tag315,,float,1,1652,
INPUT,Tag316,,int,1,1658,
INPUT,Tag317,,int,1,1668,
INPUT,Tag318,,int,1,1664,
INPUT,Tag319,,float,1,1653,
INPUT,Tag320,,int,1,1659,
INPUT,Tag321,,float,1,1815,
INPUT,Tag322,,float,1,1677,
INPUT,Tag323,,int,1,1669,
INPUT,Tag324,,int,1,1571,
INPUT,Tag325,,float,1,1561,
INPUT,Tag326,,int,1,1566,
INPUT,Tag327,,int,1,1572,
INPUT,Tag328,,float,1,1562,
INPUT,Tag329,,int,1,1567,
INPUT,Tag330,,int,1,1573,
INPUT,Tag331,,float,1,1563,
INPUT,Tag332,,int,1,1568,
INPUT,Tag333,,int,1,1574,
INPUT,Tag334,,float,1,1564,
INPUT,Tag335,,int,1,1569,
INPUT,Tag336,,int,1,1575,
INPUT,Tag337,,float,1,1565,
INPUT,Tag338,,int,1,1570,
INPUT,Tag339,,float,1,1647,
INPUT,Tag340,,int,1,1661,
INPUT,Tag341,,float,1,1650,
INPUT,Tag342,,int,1,1656,
INPUT,Tag343,,float,1,1738,
INPUT,Tag344,,int,1,1736,
INPUT,Tag345,,int,1,1734,
INPUT,Tag346,,int,1,1615,
INPUT,Tag347,,float,1,1603,
INPUT,Tag348,,int,1,1609,
INPUT,Tag349,,int,1,1616,
INPUT,Tag350,,float,1,1604,
INPUT,Tag351,,int,1,1610,
INPUT,Tag352,,int,1,1617,
INPUT,Tag353,,float,1,1605,
INPUT,Tag354,,int,1,1611,
INPUT,Tag355,,int,1,1618,
INPUT,Tag356,,float,1,1606,
INPUT,Tag357,,int,1,1612,
INPUT,Tag358,,int,1,1619,
INPUT,Tag359,,float,1,1607,
INPUT,Tag360,,int,1,1613,
INPUT,Tag361,,int,1,1620,
INPUT,Tag362,,float,1,1608,
INPUT,Tag363,,int,1,1614,
INPUT,Tag364,,float,1,1813,
INPUT,Tag365,,int,1,1672,
INPUT,Tag366,,float,1,1673,
INPUT,Tag367,,float,1,1645,
INPUT,Tag368,,int,1,1671,
INPUT,Tag369,,int,1,1670,
INPUT,Tag370,,int,1,1907,
INPUT,Tag371,,int,1,1805,
INPUT,Tag372,,float,1,1807,
INPUT,Tag373,,float,1,1808,
